City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
210,Sulangan,PH,2020-11-13 08:14:15,11.14,123.72,83.8,75,100,6.08
211,Namatanai,PG,2020-11-13 08:14:15,-3.67,152.43,81.54,77,49,2.86
212,Siocon,PH,2020-11-13 08:14:15,7.71,122.14,84.06,78,96,5.64
213,Bubaque,GW,2020-11-13 08:14:16,11.28,-15.83,83.37,67,0,8.57
214,Aleksandrov Gay,RU,2020-11-13 08:14:16,50.15,48.57,34.32,83,83,12.33
215,Miri,MY,2020-11-13 08:14:16,4.41,114.01,87.8,70,40,8.05
216,Kosh-Agach,RU,2020-11-13 08:14:16,50.0,88.67,28.76,89,38,7.67
217,Klaksvik,FO,2020-11-13 08:14:16,62.23,-6.59,48.2,87,84,23.04
218,Flinders,AU,2020-11-13 08:14:16,-34.58,150.86,70.0,77,88,3.0
219,Abha,SA,2020-11-13 08:14:16,18.22,42.51,71.6,93,0,4.99
220,Caravelas,BR,2020-11-13 08:14:17,-17.71,-39.25,74.28,84,87,9.13
221,Bida,NG,2020-11-13 08:14:17,9.08,6.02,82.13,28,2,6.53
222,Hit,IQ,2020-11-13 08:14:17,33.64,42.83,74.25,24,0,12.33
223,Asfi,MA,2020-11-13 08:11:05,32.3,-9.24,66.54,80,99,4.97
224,Sistranda,NO,2020-11-13 08:14:17,63.73,8.83,44.6,70,0,21.92
225,Bindura,ZW,2020-11-13 08:14:17,-17.3,31.33,72.0,66,99,7.0
226,Uvalde,US,2020-11-13 08:14:18,29.37,-99.77,66.0,82,90,3.36
227,Barmer,IN,2020-11-13 08:14:18,25.75,71.38,84.79,17,0,8.46
228,Arriaga,MX,2020-11-13 08:14:18,16.23,-93.9,75.78,75,58,5.1
229,Syracuse,IT,2020-11-13 08:14:18,37.09,15.28,61.0,82,0,11.41
230,Hovd,MN,2020-11-13 08:14:18,48.01,91.64,41.61,55,100,1.63
231,Lagoa Vermelha,BR,2020-11-13 08:14:18,-28.21,-51.53,55.63,95,0,2.01
232,Ornskoldsvik,SE,2020-11-13 08:14:18,63.29,18.72,39.2,93,99,3.36
233,Hambantota,LK,2020-11-13 08:14:18,6.12,81.12,89.6,75,75,3.36
234,Nairn,GB,2020-11-13 08:14:18,57.58,-3.88,46.4,81,20,10.29
235,Andra,RU,2020-11-13 08:14:19,62.51,65.89,13.55,92,3,7.27
